PLOT,Year,ACFL,ALFL,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BADO,BAOR,BAWW,BCCH,BEKI,BGGN,BHCO,BLJA,BLWA,BRCR,BRTH,BTNW,BWHA,BWWA,CAWA,CEWR,CEWX,CHSP,COGR,COHA,COYE,CSWA,DOWO,EAPH,EATO,EAWP,FISP,GBHE,GCFL,GCKI,GHOW,GRCA,GWWA,HAWO,HETH,HOWA,HOWR,INBU,LEFL,LOWA,MODO,MOWA,NAWA,NOCA,NOFL,NRWS,OVEN,PIWO,RBGR,RBWO,REVI,RHWO,ROPI,RTHA,RTHU,RUGR,RWBL,SCTA,SOSP,TUTI,TUVU,VEER,WAVI,WBNU,WEWA,WITU,WIWR,WODU,WOTH,YBCU,YTVI
HogsBackJackPine,2000,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,6,3,2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,2,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HogsBackOakPineForest,2000,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,5,3,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KlondikeCampground,2000,0,1,1,3,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,8,0,1,0,1,1,2,0,0,0,0,5,0,1,0,0,2,1,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,1
NarrowsCreekGorge,2000,0,0,1,3,0,0,0,0,0,0,0,2,0,3,5,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,3,0,11,0,2,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,4,0,0,0,1,6,4,0,7,0,1,0,0,0,2,1,0,1,0,0,1,0,0,1,2,3,0,5
PanHollow,2000,3,0,1,0,0,4,8,0,0,0,0,3,1,5,6,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,14,0,5,0,0,9,0,0,1,0,0,5,0,0,0,9,0,3,0,0,1,0,4,0,2
ProvorseHollow,2000,3,0,0,3,0,0,1,0,0,0,0,5,0,4,4,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,1,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,4
SaukHillPowerline,2000,2,0,1,3,0,12,6,0,0,0,0,6,0,8,7,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,24,0,0,1,0,0,1,0,1,0,1,0,3,0,0,1,0,0,1,0,0,22,1,9,0,0,37,0,0,2,0,0,6,0,1,0,0,0,3,0,2,0,0,4,6,3
SumpterCutover,2000,1,0,1,3,0,1,0,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,1,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,2,0
SumpterLoggedOakWoods,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0
WildcatCanyon,2000,0,0,1,1,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,9,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,7,1,0,1,1,0
WinterCreekGorge,2000,2,0,0,0,0,1,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,2,2,1,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,0,1
